"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"33363","20 years","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33364","21 years","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33365","22 years","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33366","23 years","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33367","24 years","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33368","25 years and over","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33369","Not stated","Female","2011","Leinster","Total whose full-time education has not ceased",NA
"33370","Total whose full-time education has not ceased","Female","2011","Leinster","Total whose full-time education has not ceased",172632
"33371","Full-time education not ceased - Total at school, university, etc.","Female","2011","Leinster","Total whose full-time education has not ceased",112998
"33372","Full-time education not ceased - Other","Female","2011","Leinster","Total whose full-time education has not ceased",59634
"33373","Total persons","Both sexes","2011","Carlow","Total whose full-time education has not ceased",7233
"33374","Total whose full-time education has ceased","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33375","Under 15 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33376","15 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33377","16 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33378","17 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33379","18 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33380","19 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33381","20 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33382","21 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33383","22 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33384","23 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33385","24 years","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33386","25 years and over","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33387","Not stated","Both sexes","2011","Carlow","Total whose full-time education has not ceased",NA
"33388","Total whose full-time education has not ceased","Both sexes","2011","Carlow","Total whose full-time education has not ceased",7233
"33389","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Carlow","Total whose full-time education has not ceased",4866
"33390","Full-time education not ceased - Other","Both sexes","2011","Carlow","Total whose full-time education has not ceased",2367
"33391","Total persons","Male","2011","Carlow","Total whose full-time education has not ceased",3586
"33392","Total whose full-time education has ceased","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33393","Under 15 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33394","15 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33395","16 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33396","17 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33397","18 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33398","19 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33399","20 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33400","21 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33401","22 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33402","23 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33403","24 years","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33404","25 years and over","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33405","Not stated","Male","2011","Carlow","Total whose full-time education has not ceased",NA
"33406","Total whose full-time education has not ceased","Male","2011","Carlow","Total whose full-time education has not ceased",3586
"33407","Full-time education not ceased - Total at school, university, etc.","Male","2011","Carlow","Total whose full-time education has not ceased",2440
"33408","Full-time education not ceased - Other","Male","2011","Carlow","Total whose full-time education has not ceased",1146
"33409","Total persons","Female","2011","Carlow","Total whose full-time education has not ceased",3647
"33410","Total whose full-time education has ceased","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33411","Under 15 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33412","15 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33413","16 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33414","17 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33415","18 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33416","19 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33417","20 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33418","21 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33419","22 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33420","23 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33421","24 years","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33422","25 years and over","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33423","Not stated","Female","2011","Carlow","Total whose full-time education has not ceased",NA
"33424","Total whose full-time education has not ceased","Female","2011","Carlow","Total whose full-time education has not ceased",3647
"33425","Full-time education not ceased - Total at school, university, etc.","Female","2011","Carlow","Total whose full-time education has not ceased",2426
"33426","Full-time education not ceased - Other","Female","2011","Carlow","Total whose full-time education has not ceased",1221
"33427","Total persons","Both sexes","2011","Dublin","Total whose full-time education has not ceased",193496
"33428","Total whose full-time education has ceased","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33429","Under 15 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33430","15 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33431","16 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33432","17 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33433","18 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33434","19 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33435","20 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33436","21 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33437","22 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33438","23 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33439","24 years","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33440","25 years and over","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33441","Not stated","Both sexes","2011","Dublin","Total whose full-time education has not ceased",NA
"33442","Total whose full-time education has not ceased","Both sexes","2011","Dublin","Total whose full-time education has not ceased",193496
"33443","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dublin","Total whose full-time education has not ceased",124927
"33444","Full-time education not ceased - Other","Both sexes","2011","Dublin","Total whose full-time education has not ceased",68569
"33445","Total persons","Male","2011","Dublin","Total whose full-time education has not ceased",96032
"33446","Total whose full-time education has ceased","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33447","Under 15 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33448","15 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33449","16 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33450","17 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33451","18 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33452","19 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33453","20 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33454","21 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33455","22 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33456","23 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33457","24 years","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33458","25 years and over","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33459","Not stated","Male","2011","Dublin","Total whose full-time education has not ceased",NA
"33460","Total whose full-time education has not ceased","Male","2011","Dublin","Total whose full-time education has not ceased",96032
"33461","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dublin","Total whose full-time education has not ceased",62109
"33462","Full-time education not ceased - Other","Male","2011","Dublin","Total whose full-time education has not ceased",33923
"33463","Total persons","Female","2011","Dublin","Total whose full-time education has not ceased",97464
"33464","Total whose full-time education has ceased","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33465","Under 15 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33466","15 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33467","16 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33468","17 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33469","18 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33470","19 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33471","20 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33472","21 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33473","22 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33474","23 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33475","24 years","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33476","25 years and over","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33477","Not stated","Female","2011","Dublin","Total whose full-time education has not ceased",NA
"33478","Total whose full-time education has not ceased","Female","2011","Dublin","Total whose full-time education has not ceased",97464
"33479","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dublin","Total whose full-time education has not ceased",62818
"33480","Full-time education not ceased - Other","Female","2011","Dublin","Total whose full-time education has not ceased",34646
"33481","Total persons","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",88364
"33482","Total whose full-time education has ceased","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33483","Under 15 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33484","15 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33485","16 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33486","17 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33487","18 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33488","19 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33489","20 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33490","21 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33491","22 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33492","23 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33493","24 years","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33494","25 years and over","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33495","Not stated","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",NA
"33496","Total whose full-time education has not ceased","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",88364
"33497","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",56377
"33498","Full-time education not ceased - Other","Both sexes","2011","Dublin City","Total whose full-time education has not ceased",31987
"33499","Total persons","Male","2011","Dublin City","Total whose full-time education has not ceased",43707
"33500","Total whose full-time education has ceased","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33501","Under 15 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33502","15 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33503","16 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33504","17 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33505","18 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33506","19 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33507","20 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33508","21 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33509","22 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33510","23 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33511","24 years","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33512","25 years and over","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33513","Not stated","Male","2011","Dublin City","Total whose full-time education has not ceased",NA
"33514","Total whose full-time education has not ceased","Male","2011","Dublin City","Total whose full-time education has not ceased",43707
"33515","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dublin City","Total whose full-time education has not ceased",27577
"33516","Full-time education not ceased - Other","Male","2011","Dublin City","Total whose full-time education has not ceased",16130
"33517","Total persons","Female","2011","Dublin City","Total whose full-time education has not ceased",44657
"33518","Total whose full-time education has ceased","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33519","Under 15 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33520","15 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33521","16 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33522","17 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33523","18 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33524","19 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33525","20 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33526","21 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33527","22 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33528","23 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33529","24 years","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33530","25 years and over","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33531","Not stated","Female","2011","Dublin City","Total whose full-time education has not ceased",NA
"33532","Total whose full-time education has not ceased","Female","2011","Dublin City","Total whose full-time education has not ceased",44657
"33533","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dublin City","Total whose full-time education has not ceased",28800
"33534","Full-time education not ceased - Other","Female","2011","Dublin City","Total whose full-time education has not ceased",15857
"33535","Total persons","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",32149
"33536","Total whose full-time education has ceased","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33537","Under 15 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33538","15 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33539","16 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33540","17 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33541","18 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33542","19 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33543","20 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33544","21 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33545","22 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33546","23 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33547","24 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33548","25 years and over","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33549","Not stated","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33550","Total whose full-time education has not ceased","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",32149
"33551","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",24481
"33552","Full-time education not ceased - Other","Both sexes","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",7668
"33553","Total persons","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",15809
"33554","Total whose full-time education has ceased","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33555","Under 15 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33556","15 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33557","16 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33558","17 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33559","18 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33560","19 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33561","20 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33562","21 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33563","22 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33564","23 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33565","24 years","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33566","25 years and over","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33567","Not stated","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33568","Total whose full-time education has not ceased","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",15809
"33569","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",12173
"33570","Full-time education not ceased - Other","Male","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",3636
"33571","Total persons","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",16340
"33572","Total whose full-time education has ceased","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33573","Under 15 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33574","15 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33575","16 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33576","17 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33577","18 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33578","19 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33579","20 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33580","21 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33581","22 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33582","23 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33583","24 years","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33584","25 years and over","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33585","Not stated","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",NA
"33586","Total whose full-time education has not ceased","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",16340
"33587","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",12308
"33588","Full-time education not ceased - Other","Female","2011","Dún Laoghaire-Rathdown","Total whose full-time education has not ceased",4032
"33589","Total persons","Both sexes","2011","Fingal","Total whose full-time education has not ceased",37970
"33590","Total whose full-time education has ceased","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33591","Under 15 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33592","15 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33593","16 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33594","17 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33595","18 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33596","19 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33597","20 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33598","21 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33599","22 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33600","23 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33601","24 years","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33602","25 years and over","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33603","Not stated","Both sexes","2011","Fingal","Total whose full-time education has not ceased",NA
"33604","Total whose full-time education has not ceased","Both sexes","2011","Fingal","Total whose full-time education has not ceased",37970
"33605","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Fingal","Total whose full-time education has not ceased",21762
"33606","Full-time education not ceased - Other","Both sexes","2011","Fingal","Total whose full-time education has not ceased",16208
"33607","Total persons","Male","2011","Fingal","Total whose full-time education has not ceased",19061
"33608","Total whose full-time education has ceased","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33609","Under 15 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33610","15 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33611","16 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33612","17 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33613","18 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33614","19 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33615","20 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33616","21 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33617","22 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33618","23 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33619","24 years","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33620","25 years and over","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33621","Not stated","Male","2011","Fingal","Total whose full-time education has not ceased",NA
"33622","Total whose full-time education has not ceased","Male","2011","Fingal","Total whose full-time education has not ceased",19061
"33623","Full-time education not ceased - Total at school, university, etc.","Male","2011","Fingal","Total whose full-time education has not ceased",11095
"33624","Full-time education not ceased - Other","Male","2011","Fingal","Total whose full-time education has not ceased",7966
"33625","Total persons","Female","2011","Fingal","Total whose full-time education has not ceased",18909
"33626","Total whose full-time education has ceased","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33627","Under 15 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33628","15 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33629","16 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33630","17 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33631","18 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33632","19 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33633","20 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33634","21 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33635","22 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33636","23 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33637","24 years","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33638","25 years and over","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33639","Not stated","Female","2011","Fingal","Total whose full-time education has not ceased",NA
"33640","Total whose full-time education has not ceased","Female","2011","Fingal","Total whose full-time education has not ceased",18909
"33641","Full-time education not ceased - Total at school, university, etc.","Female","2011","Fingal","Total whose full-time education has not ceased",10667
"33642","Full-time education not ceased - Other","Female","2011","Fingal","Total whose full-time education has not ceased",8242
"33643","Total persons","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",35013
"33644","Total whose full-time education has ceased","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33645","Under 15 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33646","15 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33647","16 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33648","17 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33649","18 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33650","19 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33651","20 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33652","21 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33653","22 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33654","23 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33655","24 years","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33656","25 years and over","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33657","Not stated","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",NA
"33658","Total whose full-time education has not ceased","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",35013
"33659","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",22307
"33660","Full-time education not ceased - Other","Both sexes","2011","South Dublin","Total whose full-time education has not ceased",12706
"33661","Total persons","Male","2011","South Dublin","Total whose full-time education has not ceased",17455
"33662","Total whose full-time education has ceased","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33663","Under 15 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33664","15 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33665","16 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33666","17 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33667","18 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33668","19 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33669","20 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33670","21 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33671","22 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33672","23 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33673","24 years","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33674","25 years and over","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33675","Not stated","Male","2011","South Dublin","Total whose full-time education has not ceased",NA
"33676","Total whose full-time education has not ceased","Male","2011","South Dublin","Total whose full-time education has not ceased",17455
"33677","Full-time education not ceased - Total at school, university, etc.","Male","2011","South Dublin","Total whose full-time education has not ceased",11264
"33678","Full-time education not ceased - Other","Male","2011","South Dublin","Total whose full-time education has not ceased",6191
"33679","Total persons","Female","2011","South Dublin","Total whose full-time education has not ceased",17558
"33680","Total whose full-time education has ceased","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33681","Under 15 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33682","15 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33683","16 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33684","17 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33685","18 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33686","19 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33687","20 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33688","21 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33689","22 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33690","23 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33691","24 years","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33692","25 years and over","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33693","Not stated","Female","2011","South Dublin","Total whose full-time education has not ceased",NA
"33694","Total whose full-time education has not ceased","Female","2011","South Dublin","Total whose full-time education has not ceased",17558
